citations,Symbol,Synonyms
8,ZNF583,-
9,FAM98C,-
12,CAPN12,-
19,DPY19L3,-
3,LGALS16,-
8,TTC9B,-
149,TICAM1,IIAE6|MyD88-3|PRVTIRB|TICAM-1|TRIF
3,CIRBP-AS1,C19orf23
13,ZNRF4,RNF204|SPERIZIN|Ssrzf1|spzn
7,ZNF599,-
5,FAM187B,TMEM162
32,CILP2,CLIP-2
12,PROSER3,C19orf55
1,LINC00906,-
15,ZNF558,-
11,CDC42EP5,Borg3|CEP5
27,LINC00662,-
10,ZNF98,F7175|ZNF739
6,ZNF738,-
15,ZNF714,-
5,ZNF681,-
40,C19orf25,-
15,ATP8B3,ATPIK
2,LINC00905,-
23,DIRAS1,Di-Ras1|GBTS1|RIG
18,ZNF555,-
16,ZNF569,ZAP1|ZNF|Zfp74
8,ZNF570,-
27,SYT6,sytVI
1,SONP1,-
10,C1orf74,URLC4
29,CREB3L4,AIBZIP|ATCE1|CREB3|CREB4|JAL|hJAL
2,MRPS33P1,-
8,C1orf127,-
32,BROX,C1orf58
20,SAMD11,MRS
6,MRPL20-AS1,-
11,SAMD13,HSD-41|HSD-42
27,C1orf52,gm117
19,PHF13,PHF5|SPOC1
20,CIART,C1orf51|CHRONO|GM129
14,TLCD4,TMEM56
4,NBPF4,-
17,UBE2U,-
11,SLC35F3,-
8,ICMT-DT,C1orf211|LINC00337|NCRNA00337
2,LOC148696,-
2,ACTG1P25,AGPG
5,PTPRVP,ESP|OST-PTP|PTPRV
93,HJV,HFE2|HFE2A|JH|RGMC
15,ANKRD35,-
12,FAM163A,C1orf76|NDSP
5,OVAAL,LINC01131|OVAL|RMEL2
31,B3GALNT2,B3GalNAc-T2|MDDGA11
11,MFSD4A,MFSD4|SLC60A1|UNQ3064
20,PM20D1,Cps1
8,GCSAML,C1orf150
4,GCSAML-AS1,-
62,SLC30A7,ZHS|ZNT7|ZnT-7|ZnTL2
17,CCDC27,-
1,ZNF436-AS1,C1orf213
5,KNCN,Kino|L5
16,MOB3C,MOB1E|MOBKL2C
26,GLIS1,-
10,NBPF12,COAS1|KIAA1245
11,LELP1,-
59,RC3H1,FHL6|IMDSHY|RNF198|ROQUIN
4,MGC27382,-
12,DCDC2B,-
30,ZNF362,RN|lin-29
6,LDC1P,LINC01225
16,DCST1,SNKY|SPE49
16,CNIH3,CNIH-3
2,LINC01341,-
10,MANEAL,-
5,RPS7P4,RPS7_1_61
405,IL23R,PSORS7
5,NTMT2,C1orf184|HOMT1B|METTL11B|NTM1B
10,FAM78B,-
12,SHISA4,C1orf40|TMEM58
55,EXOC8,EXO84|Exo84p|NEDMISB|SEC84
2,TRIM67-AS1,-
19,PDIK1L,CLIK1L|STK35L2
18,BNIPL,BNIP-S|BNIP-Salpha|BNIP-Sbeta|BNIPL-1|BNIPL-2|BNIPL1|BNIPL2|BNIPS|PP753
33,CLDN19,HOMG5
28,CFAP57,VWS2|WDR65
7,C1orf210,TEMP
12,CCDC24,-
1,BTBD19,-
8,CCDC17,-
6,LRRC71,C1orf92
16,SRARP,C1orf64|ERRF
29,RNF187,RACO-1|RACO1
4,CHIAP2,-
18,PYHIN1,IFIX
2,SPATA45,C1orf227
8,GARIN4,FAM71A|GARI-L4|GARIL4
1,LOC149684,-
4,ADIG,SMAF1
4,GTSF1L,C20orf65|FAM112A|dJ1028D15.4
17,WFDC5,PRG5|WAP1|dJ211D12.5
5,APCDD1L-DT,APCDD1L-AS1
16,GNAS-AS1,GNAS-AS|GNAS1AS|GNASAS|NCRNA00075|NESP-AS|NESPAS|SANG
7,PRNT,M8
2,LINC00654,-
17,SHLD1,C20orf196|RINN3
1,SYNCRIPP1,-
2,NCOR1P1,C20orf191|bB329D4.2
2,NOL4L-DT,-
34,COMMD7,C20orf92|dJ1085F17.3
19,BPIFB4,C20orf186|LPLUNC4|RY2G5|dJ726C3.5
63,LSM14B,C20orf40|FAM61B|FT005|LSM13|RAP55B|bA11M20.3
4,ANKRD30BP2,C21orf99|CT85|CTSP-1|CTSP1
10,LIPI,CT17|LPDL|PLA1C|PRED5|mPA-PLA1
14,ABCC13,ABCC13P|C21orf73|PRED6
1,TIAM1-AS1,-
19,LCA5L,C21orf13
12,IGSF5,GSF5|JAM4
55,SIK1,DEE30|MSK|SIK|SIK-1|SIK1B|SNF1LK
5,LINC00479,C21orf129|PRED76
6,ZNF295-AS1,C21orf121|NCRNA00318|PRED87
4,UMODL1-AS1,C21orf128
7,SLC9B1,NHA1|NHEDC1
6,CCT8L2,CESK1
9,XKR3,XRG3|XTES
2,LINC00895,-
2,LINC00896,-
26,AIFM3,AIFL
8,RIMBP3C,RIM-BP3.3|RIMBP3.3
14,YDJC,-
6,ZDHHC8BP,ZDHHC8P|ZDHHC8P1
8,C22orf15,N27C7-3
30,HSCB,DNAJC20|HSC20|JAC1|SIDBA5
19,CCDC117,dJ366L4.1
19,HORMAD2,CT46.2
18,DUSP18,DSP18|DUSP20|LMWDSP20
4,MORC2-AS1,C22orf27|NCRNA00325
8,C22orf42,dJ90G24.6
8,ENTHD1,CACNA1I|dJ370M22.3
14,DNAJB7,DJ5|HSC3
9,CHADL,SLRR4B
13,MEI1,HYDM3|SPATA38
19,PHETA2,FAM109B|IPIP27B|Ses2
19,NFAM1,CNAIP
14,PNPLA5,GS2L|dJ388M5|dJ388M5.4
5,PRR34-AS1,-
9,CDPF1,C22orf40|CDKN1A
2,GTSE1-DT,CN5H6.4|GTSE1-AS1|LL22NC03-5H6.6
20,TTL,-
33,CKAP2L,-
22,ZNG1B,CBWD2
24,TEKT4,-
1,PRSS40A,TISP43
5,SATB2-AS1,-
1,YWHAZP2,-
3,LINC01102,-
28,SMYD1,BOP|KMT3D|ZMYND18|ZMYND22
6,LINC01104,-
9,C2orf15,-
1,LINC01931,-
6,SILC1,LINC01105
8,OTOS,OTOSP
23,COPS9,CSNAP|MYEOV2
5,OR6B3,OR6B3P|OR6B3Q
105,COMMD1,C2orf5|MURR1
29,PROM2,PROML2
7,ANKAR,-
13,FBXO41,FBX41
15,IFT70B,IFT70|TTC30B|fleer
12,LINC00342,NCRNA00342
10,GPAT2,CT123
14,ITPRIPL1,D1B|KIAA1754L
3,SMPD4BP,-
7,RAB6D,RAB6CL|WTH3DI
34,FAM117B,ALS2CR13
10,TCF23,OUT|TCF-23|bHLHa24
1,PTMAP5,-
2,LOC150935,-
11,GAREM2,FAM59B|GAREML
1,PPIL1P1,-
29,PUS10,CCDC139|DOBI|Hup10
8,LINC01963,PKI55
1,LINC00309,NCRNA00309
6,LINC01106,-
48,SEPTIN10,SEPT10|Septin-10
9,KANSL1L,C2orf67|MSL1v2
15,PLB1,PLB|PLB/LIP
13,ZSWIM2,MEX|ZZZ2
5,LINC01854,-
17,ZNF385B,ZNF533
2,LINC01107,-
4,LINC02610,-
35,ERFE,C1QTNF15|CTRP15|FAM132B
25,ARL6IP6,AIP-6|AIP6|PFAAP1
23,METTL21A,FAM119A|HCA557b|HSPA-KMT
24,CCNYL1,-
24,KLHL23,DITHP
4,SULT1C5P,SULT1C1P|SULT1C2P1
11,PPP1R1C,IPP5
55,SGO2,SGOL2|TRIPIN
16,C2CD6,ALS2CR11|SPGF68
7,SLC38A11,AVT2
1,TXNP5,-
10,CCDC140,-
13,SLC23A3,E2BP3|SVCT3|Yspl1
2,LINC00608,-
95,GPBAR1,BG37|GPCR19|GPR131|M-BAR|TGR5
6,FAHD2B,-
5,MYADML,-
13,LRATD1,FAM84A|NSE1|PP11517
24,RMDN2,BLOCK18|FAM82A|FAM82A1|PRO34163|PYST9371|RMD-2|RMD2|RMD4
21,GDF7,BMP12
10,SLC16A14,MCT14
1,LINC01907,-
3,LINC00471,C2orf52
2,GCSIR,Lnc-ITM2C-1
9,MSL3B,MSL3L2|MSL3P1
27,ASPRV1,ADLI|MUNO|SASP|SASPase|Taps
11,WDSUB1,UBOX6|WDSAM1
20,UPP2,UDRPASE2|UP2|UPASE2
17,LBX2-AS1,-
20,GPR155,DEP.7|DEPDC3|LYCHOS|PGR22
1,BZW1P2,BZW1L1
22,TTC14,DRDL5813|PRO19630
51,DTX3L,BBAP|RNF143
32,TAFA4,FAM19A4|TAFA-4
82,SGO1,CAID|NY-BR-85|SGO|SGOL1
6,PP2D1,C3orf48
8,EFHB,CFAP21
1,LINC00635,-
23,PPM1L,PP2C-epsilon|PP2CE|PPM1-LIKE
1,LOC151760,-
15,WDR49,-
14,LRRC34,-
19,CPNE9,-
24,DPPA2,CT100|ECAT15-2|PESCRG1
2,MAGI1-IT1,-
33,CCDC80,CL2|DRO1|LINC01279|SSG1|URB|okuribin
91,BTLA,BTLA1|CD272
44,CCDC12,-
25,MB21D2,C3orf59|D2A|hMB21D2
48,PPP4R2,PP4R2
36,XXYLT1,C3orf21
38,RNF38,-
36,GLIPR2,C9orf19|GAPR-1|GAPR1
6,ROPN1B,-
6,LINC00691,-
2,GOLGA4-AS1,-
4,C3orf22,-
9,SLC66A1LP,C3orf55|PQLC2L|SLC66A1L|SLC66A2L
10,ZCWPW2,ZCW2
16,CMC1,C3orf68|cmc1p
1,VENTXP4,VENTX2P4
19,NEK10,CILD44
61,CCDC50,C3orf6|DFNA44|YMER
7,PYDC2,POP2|cPOP2
42,SPICE1,CCDC52|SPICE
30,CMTM8,CKLFSF8|CKLFSF8-V2
5,NUDT16L2P,NUDT16P|NUDT16P1
13,CCDC13,-
11,NCBP2AS2,HIAR|KRASIM|NCBP2-AS2
5,RDUR,LINC02085
34,FGD5,ZFYVE23
1,LINC02011,-
2,CIDECP1,CICE|CIDECP
59,CNTN4,AXCAM|BIG-2
19,IGSF11,BT-IgSF|BTIGSF|CT119|CXADRL1|Igsf13|VSIG3
6,TEX55,C3orf30|TSCPA
29,ZNF827,-
43,SH3D19,EBP|EVE1|Eve-1|Kryn|SH3P19
58,NFXL1,CDZFP|HOZFP|OZFP|URCC5
9,NIPAL1,NIPA3|NPAL1|SLC57A3
47,PAQR3,RKTG
15,SHISA3,hShisa3
2,LINC01618,-
29,SCFD2,STXBP1L1
9,MGAT4D,GnT1IP
1,LOC152594,-
2,WWC2-AS2,C4orf38
5,RPL7AP27,RPL7A_11_540
1,FAM192BP,FAM192B|rcNIP30
13,ZNF595,-
3,LINC01085,-
9,FAM218A,C4orf39|TRIM61-AS1
33,JAKMIP1,Gababrbp|JAMIP1|MARLIN1
16,THAP6,-
11,ODAPH,AI2A4|C4orf26
56,KLB,BKL
12,FAM53A,DNTNP
2,RTN3P1,NSPLII|RTN3PS
43,PPM1K,BDP|MSUDMV|PP2Ckappa|PP2Cm|PTMP|UG0882E07
6,SPMIP2,C4orf45
18,TRMT44,C4orf23|METTL19|TRM44
19,RASGEF1B,GPIG4
136,DAB2IP,AF9Q34|AIP-1|AIP1|DIP1/2
31,SLC38A9,SNAT9|URLC11
1,MGC32805,-
15,SLC36A2,PAT2|TRAMD1
9,SPINK13,HBVDNAPTP1|HESPINTOR|LiESP6|SPINK5L3
34,CREBRF,C5orf41|LRF
42,CEP120,CCDC100|JBTS31|SRTD13
13,SLC25A48,-
18,TMEM167A,TMEM167|kish
14,MBLAC2,-
18,TMEM161B,FLB3342|PRO1313
43,SRFBP1,BUD22|P49|Rlb1|STRAP|p49/STRAP
1,JAKMIP2-AS1,-
12,PLEKHG4B,ARHGEF48
48,ZMAT2,Ptg-12|Snu23
63,MARVELD2,DFNB49|MARVD2|MRVLDC2|Tric
7,IRX2-DT,C5orf38|CEI|IRX2NB
20,IRX2,IRXA2
12,BTNL9,BTN3|BTN8|VDLS1900
17,ARSK,MPS10|TSULF
13,FAM81B,-
18,TTC23L,MC25-1
3,ANXA2R-AS1,-
17,CCDC112,MBC1
17,PPP1R2B,PPP1R2P3
9,GARIN3,FAM71B|GARI-L3
10,PRELID2,-
28,SH3RF2,HEPP1|POSHER|PPP1R39|RNF158
5,PLAC8L1,-
17,RNF145,-
1,SEM1P1,DSS1P1|SHFM1P|SHFM1P1
2,LOC153910,-
7,ZC2HC1B,C6orf94|FAM164B|dJ468K18.5
24,SNRNP48,C6orf151|dJ336K20B.1|dJ512B11.2
25,CNKSR3,CNK3|CNK3/IPCEF1|MAGI1
15,RAET1L,RAET1H|ULBP6
15,SAMD3,-
2,LINC01312,-
31,SLC2A12,GLUT12|GLUT8
4,LINC01010,-
19,MBOAT1,LPEAT1|LPLAT|LPLAT
7,HDGFL1,HRP-1|Hdgfrp1|PWWP1|dJ309H15.1
16,PNLDC1,HsPNLDC1|SPGF57|Trimmer
16,RNF217,C6orf172|IBRDC1|OSTL|dJ84N20.1
22,NKAIN2,FAM77B|NKAIP2|TCBA|TCBA1
24,KHDC3L,C6orf221|ECAT1|HYDM2
15,CFAP206,C6orf165|dJ382I10.1
9,LINC01600,C6orf195|bA145H9.2
4,BVES-AS1,C6orf112|bA99L11.2
4,LOC154449,-
17,CCDC167,C6orf129|HSPC265
19,RUNDC3B,RPIB9|RPIP9
25,ABCA13,-
11,BMT2,C7orf60|SAMTOR
16,PRSS3P2,T6|TRY6
2,LOC154761,-
3,CLEC2L,-
24,FMC1,C7orf55|HSPC268
166,AMOT,-
52,VKORC1L1,-
80,AMOTL1,JEAP
8,LINC00689,STORM
27,FEZF1-AS1,-
22,IQUB,TRS4
1,LINC03043,C7orf77
36,KCTD7,CLN14|EPM3
5,LINC02903,C7orf66
1,LOC154937,-
7,TMEM213,-
2,ST13P7,FAM10A7|FAM10A7P
20,GIMAP8,IAN-9|IAN6|IAN9|IANT
10,CRYGN,-
6,ZNF425,-
8,LOC155060,-
33,ZNF746,PARIS
12,ATP6V0E2,ATP6V0E2L|C7orf32
4,CCT8L1P,CCT8L1
9,SLC2A7,GLUT-7|GLUT7|hGLUT7
9,AMZ1,-
1,OR7E136P,OR7E139P|OR7E147P
12,METTL27,WBSCR27
10,SBDSP1,SBDSP
20,VPS37D,WBSCR24
9,NSUN5P1,NSUN5B|WBSCR20B
71,RBM33,PRR8
36,AGR3,AG-3|AG3|BCMP11|HAG3|PDIA18|hAG-3
1,RPL21P11,RPL21_50_1399
14,LOC157273,-
34,PRAG1,NACK|PEAK2|PRAGMIN|SGK223
37,PEBP4,CORK-1|CORK1|GWTM1933|HEL-S-300|PEBP-4|PRO4408|hPEBP4
75,CDCA2,PPP1R81|Repo-Man
2,CYCSP55,CYCSL1|HCP15|HS11|bA513I15.3
3,FER1L6-AS2,C8orf78
22,TMEM65,-
5,LINC00964,-
1,SDAD1P1,-
37,RDH10,SDR16C4
1,ST13P6,FAM10A6|FAM10A6P
2,TMEM276-ZFTRAF1,LOC84773-CYHR1
2,BAALC-AS2,BAALCOS|C8orf56
24,ANKRD46,ANK-S|GENX-115279
53,ESCO2,2410004I17Rik|EFO2|EFO2p|JHS|RBS|hEFO2
16,FBXO16,FBX16
10,MIR124-1HG,LINC00599|Rncr3|neuroLNC
40,LRATD2,BCMP101|FAM84B|NSE2
23,CFAP418,BBS21|C8orf37|CORD16|FAP418|MOT25|RP64|smalltalk
73,VPS13B,BLTP5B|CHS1|COH1
1,FAM87A,-
12,TDRP,C8orf42|Inm01|TDRP1|TDRP2
15,ERICH1,HSPC319
1,SEC11B,SEC11L2|SPCS4B
10,SLC7A13,AGT-1|AGT1|XAT2
7,TDH,SDR14E1P
14,TMEM74,NET36
60,FAM91A1,-
9,C8orf48,-
5,MCMDC2,C8orf45
15,CLVS1,C6orf212L|CRALBPL|RLBP1L1
13,NKX6-3,NKX6.3
15,KCNU1,KCNMC1|KCa5|KCa5.1|Kcnma3|SPGF79|Slo3
11,SBSPON,C8orf84|RPESP
2,IL6RP1,IL6RL1
55,CAMSAP1,CDCBM12
3,LINC02907,C9orf62
1,CDC20P1,CDC20P
4,DOCK8-AS1,C9orf66
2,IFNA12P,IFNP12|IFNWP12
2,LINC00032,C9orf14|NCRNA00032
27,LINGO2,LERN3|LRRN6C
11,NXNL2,C9orf121|RDCVF2|RdCVF2L
5,C9orf163,-
8,MAMDC4,AEGP|EDTB
8,LCN6,LCN5|UNQ643|hLcn5
21,AK8,AK
61,EEF1A1P5,EEF1AL3
1,RPS10P3,RPS10_10_994
6,OR1Q1,HSTPCR106|OR1Q2|OR1Q3|OR9-25|OR9-A|OST226|OST226OR9-A|TPCR106
18,TTLL11,C9orf148|C9orf20|TTLL11-IT1|bA244O19.1
21,RASEF,RAB45|TSG
8,HSD17B7P2,HSD17B7|Hsd17b_2|bA291L22.1
2,SERPINH1P1,SERPINHP1|bA571F15.6|pshsp47
27,TTC39B,C9orf52
2,LDHAP4,LDHAL4
12,FAM201A,C9orf122
17,TRMT10B,RG9MTD3|bA3J10.9
9,TTC16,-
3,LINC02603,MIRLET7DHG
12,FAM120AOS,C9orf10OS
20,SAXO1,C9orf138|FAM154A
2,LINC00475,C9orf44
37,FREM1,BNAR|C9orf143|C9orf145|C9orf154|MOTA|TILRR|TRIGNO2
2,RPL4P5,RPL4_3_960
12,BRD10,KIAA2026
1,YBX1P10,BA327L3.4
19,SPAAR,LINC00961|SPAR
3,ATP8B5P,FetA
22,ZNF483,ZKSCAN16|ZSCAN48
12,SHOC1,C9orf84|MZIP2|SPGF75|ZIP2|ZIP2H
19,KIAA1958,-
19,TSTD2,C9orf97
7,ZNF782,-
1,LOC158434,-
2,LOC158435,-
2,ASS1P3,ASSP3
48,PRUNE2,BMCC1|BNIPXL|C9orf65|KIAA0367
13,CBLL2,CT138|HAKAIL|ZNF645
10,CSAG1,CSAGE|CT24.1
15,FMR1NB,CT37|NY-SAR-35|NYSAR35
3,USP27X-DT,USP27X-AS1
10,FAAH2,AMDD
9,ZXDB,ZNF905|dJ83L6.1
1,RPSAP3,LAMR1P3|RPSA_21_1392
8,FAM47A,-
42,MOSPD2,-
14,ARHGAP36,-
16,RIBC1,2610028I09Rik
11,AKAP14,AKAP28|PRKA14
18,RHOXF1,OTEX|PEPP1
5,NKAPP1,CXorf42
15,MAGEB6,CT3.4|MAGE-B6|MAGEB6A
4,CXorf65,-
5,AWAT1,DGA2|DGAT2L3
14,AWAT2,ARAT|DC4|DGAT2L4|MFAT|WS
22,ZDHHC15,DHHC15|MRX91
24,USP51,-
1,PHF10P1,XAP135P
9,TCEAL6,Tceal3|WEX2
16,H2BW1,H2BFWT|TH2B-175
13,CXorf38,-
29,PABIR2,FAM122B|SPACIA2
10,PABIR3,FAM122C
18,HSFY2,HSF2L|HSFY
2,RBMY2EP,-
4,RBMY2FP,-
16,RBMY1F,YRRM2
53,USP54,C10orf29|bA137L10.3|bA137L10.4
53,NKX2-3,CSX3|NK2.3|NKX2.3|NKX2C|NKX4-3
20,SLC35G1,C10orf60|POST|TMEM20
19,CFAP58,C10orf80|CCDC147|SPGF49|bA127L20.4|bA127L20.5|bA554P13.1
1,CBX3P1,-
10,SLC5A12,SMCT2
25,DEUP1,CCDC67
12,PATE1,PATE
17,C11orf65,MFI
15,LDHAL6A,LDH6A
5,C11orf42,-
32,TMTC2,IBDBP1
45,CLEC12A,CD371|CLL-1|CLL1|DCAL-2|MICL
10,CLECL1P,CLECL1|DCAL-1|DCAL1
57,TMTC3,LIS8|SMILE
12,C12orf50,-
42,ALDH1L2,mtFDH
10,LMNTD1,IFLTD1|LMNARS1|PAS1C1
16,DENND5B,-
22,TAMALIN,GRASP
60,SLC5A8,AIT|SMCT|SMCT1
17,PPTC7,TA-PP2C|TAPP2C
10,CCDC63,ODA5
15,CCDC60,-
2,SP3P,-
56,DGKH,DGKeta
15,CCDC122,-
24,GPR180,ITR
12,STOML3,Epb7.2l|SRO
13,GARIN2,C14orf54|FAM71D|GARI-L1|GARI-L2
8,TMEM229B,C14orf83
1,ACTN1-DT,ACTN1-AS1|C14orf84
38,SYNE3,C14orf139|C14orf49|KASH3|LINC00341|NCRNA00341|NET53|Nesp3
26,CLEC14A,C14orf27|CEG1|EGFR-5
4,FITM1,FIT1
18,REM2,-
1,OR4H12P,C14orf14|OR4H12|c14_5009
16,TMEM30B,CDC50B
2,LINC00519,C14orf30|c14_5317
29,MDGA2,MAMDC1|c14_5286
5,SAMD15,C14orf174|FAM15A
2,RPL7AP10,RPL7AP3|RPL7AP68|RPL7A_31_1637|rpL7a
47,NOP9,C14orf21|HP08474
15,EML5,EMAP-2|EMAP-5|FAP16
31,STRC,DFNB16
11,CFAP161,C15orf26
15,TBC1D21,MgcRabGAP
56,DNAAF4,CILD25|DYX1|DYX1C1|DYXC1|EKN1|RD
1,CSNK1A1P1,CSNK1A1P
24,OTUD7A,C15orf16|C16ORF15|CEZANNE2|OTUD7
78,SPRED1,LGSS|NFLS|PPP1R147|hSpred1|spred-1
8,CIMAP1C,ODF3L1
5,PGBD4,-
10,ADAL,HsMAPDA
8,EXD1,EXDL1
25,FSIP1,HSD10
39,ZFPM1,FOG|FOG1|ZC2HC11A|ZNF408|ZNF89A
12,ADAD2,TENRL
9,ITPRIPL2,D1C
2,C16orf82,TNT
1,LOC162137,-
26,ZFP1,ZNF475
8,ANKFN1,-
18,MARCHF10,MARCH-X|MARCH10|RNF190
4,MFSD6L,-
27,SLFN5,-
35,NAGS,AGAS|ARGA
37,RETREG3,FAM134C
19,TMEM92,-
23,PHOSPHO1,-
10,RHBDL3,RHBDL4|VRHO
76,TRPV3,FNEPPK2|OLMS|OLMS1|VRL3
18,SLC16A11,MCT
14,FBXO39,CT144|FBOX39|Fbx39
16,SPPL2C,IMP5
9,KRT28,K25IRS4|KRT25D
3,USP32P1,-
7,ZNF519,HsT2362
16,C18orf54,LAS2
6,ELOA3P,ELOA3|ELOA3A|ELOA3AP|HsT829|TCEB3C|TCEB3L2
6,ZNF836,-
8,ZNF610,-
8,ZNF600,KR-ZNF1
13,ZNF320,ZFPL
11,ZNF497,-
10,ZNF550,-
18,ZNF296,ZFP296|ZNF342
23,DEDD2,FLAME-3|FLAME3
7,ZNF846,-
8,OR7D2,HTPCRH03|OR19-10|OR19-4
2,CYP2T3P,-
26,ZNF579,-
9,ZNF791,-
13,ZNF564,-
7,ZNF709,-
11,ZNF433,-
12,ZNF114,-
18,ZNF567,-
10,ZNF383,HSD17|Zfp383
1,TAF9P3,TAF2GL
4,ZNF781,-
14,EID2,CRI2|EID-2
5,ZNF780B,ZNF779
7,PRR22,-
14,LGI4,AMC1|AMCNMY|LGIL3
21,SYNE4,C19orf46|DFNB76|KASH4|Nesp4
6,ZNF676,-
15,ZNF100,-
8,ZNF540,Nbla10512
16,DENND2C,dJ1156J9.1
21,GBP6,-
11,PLPPR5,LPPR5|PAP2|PAP2D|PRG5
5,FNDC7,-
31,DENND1B,C1ORF18|C1orf218|FAM31B
16,TDRD5,TUDOR3
85,TOR1AIP2,IFRG15|LULL1|NET9
13,CALML6,CAGLP
53,IFNLR1,CRF2/12|IFNLR|IL-28R1|IL28RA|LICR2
10,CYP4Z2P,-
14,CITED4,-
2,SLC25A3P1,-
5,CIMAP2,C1orf177|LEM|LEXM
10,SPRR4,-
15,KANK4,ANKRD38|dJ1078M7.1
61,SASS6,MCPH14|SAS-6|SAS6
32,SDE2,C1orf55|dJ671D7.1
36,CNST,C1orf71|PPP1R64
6,FAM43B,-
20,HFM1,MER3|POF9|SEC63D1|Si-11|Si-11-6|helicase
28,PAQR7,MPRA|PGLP|mSR
1,TTC24,-
11,CCDC185,C1orf65
11,UBL4B,-
7,WFDC13,C20orf138|WAP13|dJ601O1.3
10,APCDD1L,-
13,LRRN4,C20orf75|NLRR-4|NLRR4|dJ1056H1.1
2,CST13P,CSTT|CTES6
10,TTLL9,C20orf125
17,CCDC116,-
11,CABP7,CALN2
126,TMPRSS6,IRIDA|MT2
89,APOBEC3H,A3H|ARP-10|ARP10
22,WBP2NL,GRAMD7|PAWP
2,TTLL8,-
14,DAW1,CILD52|DNAAF18|ODA16|WDR69
17,LONRF2,RNF192
1,CYCSP7,HCP7
40,CCDC138,-
14,ADGRF3,GPR113|PGR23
6,TEX44,C2orf57
22,OXER1,GPCR|GPR170|TG1019
5,TOGARAM2,FAM179A
18,FAM171B,KIAA1946
6,C1QL2,C1QTNF10|CTRP10
36,UBXN2A,UBXD4
9,CLEC4F,CLECSF13|KCLR|KCR
11,DQX1,-
18,PARP15,ARTD7|BAL3|pART7
6,SPTSSB,ADMP|C3orf57|SSSPTB
27,DNAJB8,CT156|DJ6
10,GPR156,DFNB121|GABABL|PGR28
25,XIRP1,CMYA1|Xin
125,RNF168,RIDL|hRNF168
13,CHST13,C4ST3
24,PRICKLE2,EPM5
7,KBTBD12,KLHDC6
86,AFG2A,AFG2|EHLMRS|NEDHSB|SPAF|SPATA5
20,BBS12,C4orf24
29,DCLK2,CL2|CLICK-II|CLICK2|CLIK2|DCAMKL2|DCDC3|DCDC3B|DCK2
27,ADGRA3,GPR125|PGR21|TEM5L
10,TRIM60,RNF129|RNF33
10,FREM3,-
25,MMAA,cblA
19,ZBTB49,ZNF509
11,TIGD2,HEL106
45,RASSF6,-
10,RBM46,CT68
40,SGMS2,CDL|SMS2
23,MIER3,-
12,CDC20B,G6VTS76519
12,UGT3A2,-
41,TENT2,APD4|GLD2|PAPD4|TUT2
70,DCP2,NUDT20
12,NIM1K,NIM1
15,LIX1,C5orf11|Lft
27,ZNF366,DC-SCRIPT|DCSCRIPT
6,FAM151B,UNQ9217
10,PRSS35,C6orf158|dJ223E3.1
37,LCA5,C6orf152
27,OLIG3,Bhlhb7|bHLHe20
24,TXLNB,C6orf198|LST001|MDP77|dJ522B19.2
34,DACT2,C6orf116|DAPPER2|DPR2|bA503C24.7
12,C6orf118,bA85G2.1|dJ416F21.2
1,PRSS3P1,TRY5
21,ZNF92,HEL-203|HPF12|HTF12|TF12
15,GALNTL5,GALNACT19|GALNT15|GalNAc-T5L
23,DDX53,CAGE|CT26
10,ZNF679,-
14,RNF133,-
7,CDC14C,CDC14B2|CDC14Bretro
16,THAP5,-
19,CCDC71L,C7orf74
1,SEPHS1P1,SEPHS1P
17,PKD1L1,HTX8|PRO19563
12,GIMAP7,IAN7|hIAN7
14,ZNF467,EZI|Zfp467
32,BHLHA15,BHLHB8|MIST1
36,BMPER,CRIM3|CV-2|CV2
2,PER3P1,PER4
22,ZNF800,-
6,CNBD1,-
243,SLC30A8,ZNT8|ZnT-8
23,COL22A1,-
16,SNX31,-
10,TMEM64,-
9,ZNF596,-
44,IDO2,INDOL1
12,STKLD1,C9orf96|SgK071|Sk521
44,KCNV2,KV11.1|Kv8.2|RCD3B
15,OLFML2A,PRO34319
9,TMEM252,C9orf71
52,QSOX2,QSCN6L1|SOXN
73,GLIS3,NDH|ZNF515
4,ZNF883,-
17,ZNF169,-
15,TENT5D,CT1.26|CT112|FAM46D
25,SPIN3,SPIN-3|TDRD27|bA445O16.1
7,FAM47B,-
3,SUPT20HL2,FAM48B1|FAM48B2
21,TCEANC,TCEANC1
27,ZCCHC12,PNMA7A|SIZN|SIZN1
103,ARX,CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS
4,FAM170B,C10orf73
4,TMEM273,C10orf128
15,FUT11,FUCTXI
17,OIT3,LZP
7,LINC02870,C10orf91
20,PWWP2B,PWWP2|bA432J24.1|pp8607
19,LINC00858,CRCAL-2|LNMAT2
29,SSBP4,-
34,CLEC4C,BDCA-2|BDCA2|CD303|CLECSF11|CLECSF7|DLEC|HECL|PRO34150
3,ACTL10,C20orf134|dJ63M2.2
148,DHX36,DDX36|G4R1|MLEL1|RHAU
2,DFNB33,-
1,GCNT1P1,GCNT1P|bA189K21.2
3,GLRXP1,GLRXP|bA425M5.1
2,RPSAP1,LAMR1P|LAMR1P1|RPSA_24_1712|dJ1193N1.1
1,OTSC3,-
3,PA2G4P2,PA2G4L5|bA102J14.2
11,PARK10,AAOPD
1,PGAM3P,dJ1128N12.1
